,transcriptomic,proteomic,genomic,rna_prot_corr,score
MUC16,13.564353703703707,0.4759574074074074,0.043010752688172046,0.6635029540689917,0.98757212605415
COL6A3,12.327081481481487,0.19575740740740744,0.030107526881720432,0.34339622641509426,0.9507323568575232
FN1,14.17515555555555,0.40883703703703705,0.010752688172043012,0.714351057747284,0.9134487350199734
MACF1,11.893775925925924,0.1254,0.030107526881720432,0.4275586049170954,0.9041278295605859
COL3A1,14.058714814814818,0.25934629629629624,0.010752688172043012,0.4577472841623784,0.9041278295605859
CHD4,12.674331481481476,0.10660555555555556,0.015053763440860216,0.08846960167714885,0.8892587660896581
MXRA5,11.57859444444445,0.30582592592592595,0.012903225806451613,0.6131884886601867,0.8877052818464269
KDM5C,11.52043518518519,0.14862187500000001,0.017204301075268817,,0.8841544607190412
TP53,11.022753703703701,0.1507,0.8279569892473119,,0.875277407900577
PRKDC,12.18901111111111,0.09915185185185184,0.015053763440860216,0.29503135189943547,0.8666222814025742
COL1A2,14.83656851851852,0.3890907407407408,0.008602150537634409,0.2972746331236897,0.8584110075454949
NOTCH2,12.648312962962965,0.11622884615384617,0.010752688172043012,,0.8473146915224146
MYH9,14.284620370370375,0.08749074074074076,0.010752688172043012,0.6608347627215551,0.8286728806036396
BPTF,10.74249259259259,0.16517777777777778,0.012903225806451613,0.23743091290261098,0.8144695960940967
AHNAK,13.883453703703704,0.04756111111111111,0.02795698924731183,0.5663807890222984,0.812694185530404
WDR6,11.62476111111111,0.11596296296296295,0.010752688172043012,,0.8122503328894808
CCDC6,12.361509259259257,0.13707407407407407,0.008602150537634409,0.7238040785210595,0.7998224589436307
COL5A1,11.810214814814815,0.18995925925925922,0.008602150537634409,0.4938916313386287,0.7993786063027075
THBS2,10.086946296296297,0.58725,0.012903225806451613,0.5638758124868669,0.7900577008433199
MYLK,10.668820370370371,0.11068333333333334,0.012903225806451613,0.7297503335239183,0.77762982689747
ADNP,11.612168518518523,0.0877462962962963,0.010752688172043012,0.6226415094339621,0.7771859742565468
PHF8,10.664562962962965,0.17047749999999998,0.010752688172043012,,0.7762982689747004
CHD8,11.018416666666667,0.08776470588235294,0.012903225806451613,,0.775410563692854
CDH6,10.681405555555555,0.16602407407407405,0.010752688172043012,0.8803125595578425,0.7754105636928539
LAMA3,9.617692592592594,0.24034444444444444,0.023655913978494623,0.704288164665523,0.7718597425654682
KDM2A,12.284777777777778,0.06759423076923078,0.010752688172043012,,0.7709720372836217
SYNE2,10.720387037037039,0.0714462962962963,0.030107526881720432,0.6337716790546978,0.7705281846426986
CNOT1,12.102199999999996,0.07000370370370369,0.010752688172043012,0.2678482942633886,0.766977363515313
SNRNP200,12.74943518518519,0.06244444444444444,0.010752688172043012,0.34671901510042186,0.7656458055925432
PPL,11.133953703703707,0.18398888888888895,0.008602150537634409,0.7281494187154564,0.7656458055925432
SORL1,12.028518518518517,0.055957407407407414,0.012903225806451613,0.7573470554602629,0.7625388371060807
VCAN,10.368114814814815,0.21942592592592594,0.010752688172043012,0.6738707833047455,0.7620949844651574
IGSF9,10.785574074074075,0.11569545454545455,0.010752688172043012,,0.7603195739014648
RNF213,12.24441666666667,0.03732592592592592,0.025806451612903226,0.7410329712216503,0.7594318686196182
VPS13B,9.588131481481481,0.191048,0.01935483870967742,,0.758988015978695
L1CAM,9.58739074074074,0.17284500000000003,0.017204301075268817,,0.7470039946737683
VWF,10.640703703703707,0.08618148148148148,0.012903225806451613,0.49403468648751664,0.7456724367509986
AHNAK2,10.405416666666666,0.1433235294117647,0.010752688172043012,,0.7438970261873057
SETD2,10.590492592592593,0.07431515151515151,0.015053763440860216,,0.7414558366622281
LAMC1,12.752640740740738,0.03445555555555556,0.015053763440860216,0.26822946445587953,0.7405681313803816
KRAS,10.250887037037035,0.16038979591836733,0.010752688172043012,,0.7403462050599201
MGA,10.013733333333333,0.10798437500000001,0.015053763440860216,,0.7396804260985352
RB1,9.936707407407406,0.09153404255319152,0.03225806451612903,,0.7372392365734576
WNK1,12.5403,0.05159629629629631,0.010752688172043012,0.519496855345912,0.7367953839325343
PI4KB,11.218427777777778,0.0725,0.010752688172043012,,0.734132268086995
SMC1A,11.315422222222221,0.05679074074074073,0.012903225806451613,0.335620354488279,0.7332445628051487
POGZ,11.250833333333334,0.10531296296296297,0.008602150537634409,0.4845054316752429,0.7296937416777629
SP100,10.646531481481482,0.06390185185185186,0.017204301075268817,0.6427672955974842,0.7292498890368397
LRP1,12.443914814814818,0.027796296296296312,0.025806451612903226,0.6533381616997834,0.7279183311140701
HSPG2,13.055833333333332,0.03411296296296295,0.012903225806451613,0.42717743472460445,0.7261429205503772
LARP1,12.607451851851856,0.06873888888888888,0.008602150537634409,0.4852677720602248,0.7256990679094542
ABCA1,10.013272222222223,0.11243076923076924,0.012903225806451613,,0.7252552152685308
NF1,10.111964814814817,0.0730653846153846,0.05161290322580645,,0.7248113626276076
ARID2,9.876129629629629,0.129688,0.012903225806451613,,0.7230359520639147
COL5A2,10.575168518518517,0.18532962962962962,0.008602150537634409,0.4501238803125595,0.7203728362183754
MYO5C,9.535492592592592,0.17638823529411768,0.012903225806451613,,0.7190412782956058
PTGS1,12.475681481481486,0.3040092592592593,0.0064516129032258064,0.782351820087669,0.7185974256546827
SAMD9L,9.402379629629626,0.13029999999999997,0.01935483870967742,0.623785020011435,0.7185974256546825
DIDO1,11.05911851851852,0.10634259259259259,0.008602150537634409,0.27745378311416047,0.7163781624500665
TARDBP,11.434192592592591,0.08652962962962964,0.008602150537634409,0.13977510958643033,0.7137150466045272
SRCAP,12.321675925925923,0.04491724137931034,0.010752688172043012,,0.7119396360408343
UBR4,11.826125925925929,0.03995555555555556,0.012903225806451613,0.5844482561463693,0.711051930758988
CAD,11.344522222222222,0.04586481481481481,0.012903225806451613,0.7254812273680197,0.7052818464269862
C11orf30,9.385374074074074,0.17638148148148147,0.012903225806451613,,0.7052818464269862
BRD2,12.46279814814815,0.04122307692307693,0.010752688172043012,,0.7039502885042166
HUWE1,12.93207407407408,0.01941111111111111,0.023655913978494623,0.5225462168858395,0.7035064358632934
IPO9,11.498074074074076,0.05311111111111111,0.010752688172043012,0.7504859919954259,0.7017310252996005
SRRM2,13.829040740740739,0.02149074074074074,0.015053763440860216,0.22607634988573022,0.7010652463382157
CREBBP,11.694955555555559,0.02934594594594594,0.023655913978494623,,0.700843320017754
MTOR,10.803681481481476,0.045953703703703705,0.01935483870967742,0.35868798725758244,0.6999556147359076
TAPBP,12.908742592592596,0.14866481481481483,0.0064516129032258064,0.6387268915570801,0.6981802041722148
ATP2B4,13.05152222222222,0.05397592592592594,0.008602150537634409,0.6678482942633884,0.6977363515312915
USP34,11.144203703703706,0.0383648148148148,0.015053763440860216,0.3385999352613289,0.6952951620062139
HTATSF1,10.228294444444442,0.09881481481481484,0.010752688172043012,0.28530588907947396,0.6950732356857523
NIPBL,10.51201851851852,0.05110925925925926,0.021505376344086023,0.37053554412044976,0.6939636040834443
CD163,9.503459259259259,0.1045888888888889,0.015053763440860216,0.6748618258052219,0.693519751442521
DLG5,10.94052962962963,0.09277307692307693,0.008602150537634409,,0.6924101198402131
BCR,10.799614814814811,0.09987419354838709,0.008602150537634409,,0.6901908566355969
COL11A1,7.788303703703703,0.4203074074074074,0.021505376344086023,0.5872689155708023,0.6895250776742121
EFEMP1,8.687977777777778,0.22519444444444445,0.015053763440860216,0.5450352582428053,0.689081225033289
THBS1,11.50272037037037,0.44515555555555547,0.0064516129032258064,0.4792452830188679,0.6870838881491345
MTA2,11.126942592592595,0.07977592592592592,0.008602150537634409,0.3007051648561082,0.686196182867288
DTX3L,11.613001851851848,0.06707222222222221,0.008602150537634409,0.812083095101963,0.6853084775854416
SON,12.082975925925929,0.038133333333333325,0.010752688172043012,0.26891557080236317,0.6830892143808256
EIF3E,12.677890740740743,0.0504425925925926,0.008602150537634409,0.18292357537640555,0.6817576564580559
THOC2,10.067711111111109,0.09817777777777775,0.010752688172043012,0.2855400332142986,0.6813138038171327
ZNF638,10.267561111111116,0.06633518518518519,0.012903225806451613,0.42504288164665516,0.6804260985352862
COL14A1,8.5583,0.4260111111111112,0.012903225806451613,0.5017343243758338,0.6782068353306702
ITGA3,12.263720370370372,0.1307685185185185,0.0064516129032258064,0.6590051457975985,0.677762982689747
DYNC1H1,12.326496296296297,0.013099999999999999,0.025806451612903226,0.4140651801029159,0.6764314247669774
APEX1,12.555672222222226,0.11589999999999998,0.0064516129032258064,0.71211572560533,0.6733244562805148
FBLN5,9.805048148148147,0.3734462962962962,0.008602150537634409,0.4110920526014865,0.6724367509986684
CIZ1,11.471575925925924,0.23735,0.0064516129032258064,,0.6719928983577451
SUPT6H,11.00065185185185,0.05330925925925926,0.010752688172043012,0.37045931008195154,0.6715490457168221
FCGBP,9.681042592592592,0.07005,0.023655913978494623,,0.6715490457168221
PLXNA2,9.955322222222222,0.20245652173913045,0.008602150537634409,,0.6715490457168221
FLNB,12.248581481481484,0.03294074074074074,0.010752688172043012,0.7688349312418106,0.6711051930758988
FBLN1,11.416864814814813,0.23860370370370368,0.0064516129032258064,0.5105012388031255,0.6702174877940523
PCDH1,11.143574074074074,0.04729199999999999,0.010752688172043012,,0.6679982245894363
KIF1B,11.09311296296296,0.07103793103448275,0.008602150537634409,,0.6675543719485131
HEATR1,10.406029629629629,0.057468518518518516,0.012903225806451613,0.35627977892128826,0.6666666666666666
NF2,9.958298148148149,0.18134545454545456,0.008602150537634409,,0.6662228140257433
CEP250,9.8531537037037,0.10307142857142855,0.010752688172043012,,0.665335108743897
ADAM15,11.481961111111112,0.1803,0.0064516129032258064,,0.6626719928983578
LAMB2,12.198570370370364,0.031359259259259246,0.010752688172043012,0.17526873522909203,0.6622281402574345
